ecc_id,bc_name,Has Adobe SDK
1437686,"LENDINGTREE, INC.",Y
1437695,TEACHERS INSURANCE AND ANNUITY,Y
1437707,SPARK NEW ZEALAND TRADING LIMITED,Y
1437708,UNITED OVERSEAS BANK LIMITED,Y
1437754,ALLSTATE INSURANCE COMPANY,Y
1437758,NOVARTIS PHARMA AG,Y
1437762,AARP,Y
1437763,"VONAGE AMERICA, INC.",Y
1437768,"SHUTTERFLY.COM A/K/A SHUTTERFLY,",Y
1437778,ESSITY HYGIENE AND HEALTH AB,Y
1437783,DARDEN RESTAURANTS INC.,Y
1437786,"24 HOUR FITNESS USA, INC",Y
1437799,PURCHASING POWER LLC,Y
1437815,"ALLEGIS GROUP, INC.",Y
1437822,REED BUSINESS INFORMATION LTD,Y
1437829,"HARLEY-DAVIDSON, INC.",Y
1437830,"GUESS?, INC.",Y
1437855,AMERICAN ACADEMY,Y
1437863,"ALM MEDIA, LLC",Y
1437865,"AMERICAN PUBLIC UNIVERSITY SYSTEM,",Y
1437867,"AIG.COM, INC.",Y
1437889,INGERSOLL-RAND COMPANY,Y
1437904,"INTERVAL INTERNATIONAL, INC.",Y
1437945,"MEDTRONIC, INC.",Y
1437951,JOHN MUIR HEALTH,Y
1437971,"MORNINGSTAR, INC",Y
1437973,MUSICNOTES INC,Y
1437984,STARBUCKS CORPORATION,Y
1437997,SVERIGES TELEVISION,Y
1438001,NETWORK TEN PTY LIMITED,Y
1438012,THE NORTHWESTERN,Y
1438020,VIRGIN AUSTRALIA AIRLINES PTY LTD,Y
1438027,"THE GOLDMAN SACHS GROUP, INC.",Y
1438038,THE NATIONAL TRUST,Y
1438041,HOTEL RESERVATION SERVICE,Y
1438043,TIME OUT ENGLAND LTD,Y
1438044,WHITBREAD GROUP PLC,Y
1438056,RAYMOND CORPORATION,Y
1438066,WARNER BROS ADVANCED DIGITAL SERVIC,Y
1438107,"PFIZER, INC.",Y
1438112,THE VAIL CORPORATION,Y
1438132,PUBLICAR DO BRASIL,Y
1438134,"COMMONWEALTH EQUITY SERVICES, INC",Y
1438138,AMERICAN SOCIETY OF CLINICAL,Y
1438141,"BEST WESTERN INTERNATIONAL, INC.",Y
1438159,CORPORATE EXECUTIVE BOARD,Y
1438170,"CRAIN COMMUNICATIONS, INC.",Y
1438175,"CRACKLE, INC.",Y
1438177,"AUTOZONE.COM, INC.",Y
1438193,"CARMAX BUSINESS SERVICES, LLC",Y
1438198,CHARTER COMMUNICATIONS,Y
1438204,CYGNUS BUSINESS MEDIA,Y
1438208,DEBENHAMS RETAIL PLC,Y
1438212,DENNIS INTERACTIVE LTD,Y
1438226,"IHEARTMEDIA, INC.",Y
1438244,EQUIFAX INC.,Y
1438252,FEDERATION INTERNATIONALE DE,Y
1438274,HUMANE SOCIETY,Y
1438278,TELUS COMMUNICATIONS COMPANY,Y
