Name,Rank,Website
Silgan Holdings,617,http://www.silganholdings.com
Select Medical Holdings,618,http://www.selectmedicalholdings.com
Crown Castle International,619,http://www.crowncastle.com
Allegheny Technologies,620,http://www.atimetals.com
HSN,621,http://www.hsni.com
Xylem,622,http://www.xyleminc.com
Zebra Technologies,623,http://www.zebra.com
Albemarle,624,http://www.albemarle.com
Resolute Forest Products,625,http://www.resolutefp.com
Towers Watson,626,http://www.willistowerswatson.com
Boise Cascade,627,http://www.bc.com
Greif,628,http://www.greif.com
Team Health Holdings,629,http://www.teamhealth.com
Snap-on,630,http://www.snapon.com
Sprouts Farmers Market,631,http://www.sprouts.com
Roper Technologies,632,http://www.ropertech.com
First Solar,633,http://www.firstsolar.com
Pitney Bowes,634,http://www.pb.com
ADT,635,http://www.adt.com
Molson Coors Brewing,636,http://www.molsoncoors.com
Builders FirstSource,637,http://www.bldr.com
Lexmark International,638,http://www.lexmark.com
Carlisle,639,http://www.carlisle.com
CalAtlantic Group,640,http://www.calatlantichomes.com
Martin Marietta Materials,641,http://www.martinmarietta.com
Hub Group,642,http://www.hubgroup.com
American Eagle Outfitters,643,http://www.ae.com
Abercrombie & Fitch,644,http://www.abercrombie.com
Regal Beloit,645,http://www.regalbeloit.com
Country Financial,646,http://www.countryfinancial.com
Meritor,647,http://www.meritor.com
Tailored Brands,648,http://www.tailoredbrands.com
ON Semiconductor,649,http://www.onsemi.com
Pinnacle West Capital,650,http://www.pinnaclewest.com
Ventas,651,http://www.ventasreit.com
Moody’s,652,http://www.moodys.com
Sprague Resources,653,http://www.spragueenergy.com
FMC,654,http://www.fmc.com
Lennox International,655,http://www.lennoxinternational.com
Buckeye Partners,656,http://www.buckeye.com
Urban Outfitters,657,http://www.urbanoutfittersinc.com
Manitowoc,658,http://www.manitowoc.com
Analog Devices,659,http://www.analog.com
Vulcan Materials,660,http://www.vulcanmaterials.com
C.R. Bard,661,http://www.crbard.com
Murphy Oil,662,http://www.murphyoilcorp.com
Nasdaq,663,http://www.business.nasdaq.com
Darling Ingredients,664,http://www.darlingii.com
Church & Dwight,665,http://www.churchdwight.com
Hubbell,666,http://www.hubbell.com
Worthington Industries,667,http://www.worthingtonindustries.com
PolyOne,668,http://www.polyone.com
